City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,olonkinbyen,70.9221,-8.7187,33.96,99,100,9.08,SJ,1684882204
83,naze,28.3667,129.4833,70.72,65,7,14.83,JP,1684882206
84,geraldton,-28.7667,114.6,63.01,94,100,6.91,AU,1684882207
85,artova,40.1158,36.3001,50.68,83,92,4.63,TR,1684882208
86,taulaga,-11.0553,-171.0883,82.24,70,29,8.14,AS,1684882210
87,rio grande,-32.035,-52.0986,64.51,88,53,8.97,BR,1684882211
88,acarau,-2.8856,-40.12,78.48,86,62,10.98,BR,1684882213
89,bethel,41.3712,-73.414,61.83,58,0,10.36,US,1684882214
90,pocone,-16.2567,-56.6228,79.32,42,0,5.91,BR,1684882215
91,ataq,14.5377,46.8319,75.47,65,99,1.1,YE,1684882216
92,goondiwindi,-28.55,150.3167,59.04,37,0,2.42,AU,1684882218
93,colonia,50.9333,6.95,48.78,76,0,5.75,DE,1684882178
94,gobabis,-22.45,18.9667,63.05,27,0,6.31,NA,1684882220
95,medjez el bab,36.6496,9.6123,61.32,90,3,5.26,TN,1684882222
96,sitka,57.0531,-135.33,55.29,58,100,9.22,US,1684882188
97,cabo san lucas,22.8909,-109.9124,93.45,21,40,3.44,MX,1684882224
98,tual,-5.6667,132.75,81.88,78,74,24.94,ID,1684882225
99,port lincoln,-34.7333,135.8667,58.19,67,64,16.26,AU,1684882227
100,mangalia,43.8,28.5833,56.53,87,4,6.38,RO,1684882228
101,baijiantan,45.6333,85.1833,64.67,35,1,13.91,CN,1684882229
102,newman,37.3138,-121.0208,77.97,37,40,14.0,US,1684882231
103,mariental,-24.6333,17.9667,65.03,28,0,4.79,NA,1684882232
104,mahina,-17.5065,-149.489,83.97,70,20,14.97,PF,1684882233
105,petatlan,17.5167,-101.2667,89.28,50,76,7.02,MX,1684882234
106,dakhla,23.6848,-15.958,65.55,80,98,17.54,EH,1684882236
107,anadyr,64.75,177.4833,39.0,75,75,8.95,RU,1684882235
108,ingeniero jacobacci,-41.3427,-69.5448,41.47,56,19,14.27,AR,1684882238
109,marsala,37.7966,12.4352,60.75,88,0,1.14,IT,1684882239
110,nazarovo,56.0064,90.3914,47.34,73,59,9.01,RU,1684882241
111,margaret river,-33.95,115.0667,57.72,62,98,16.6,AU,1684882242
112,huarmey,-10.0681,-78.1522,73.17,80,85,10.18,PE,1684882243
113,bontang,0.1333,117.5,76.95,92,100,6.71,ID,1684882244
114,iskateley,67.6803,53.1512,56.3,68,73,8.72,RU,1684882245
115,hanoi,21.0245,105.8412,77.0,92,97,3.2,VN,1684881999
116,usinsk,65.9939,57.5281,54.45,72,82,6.69,RU,1684882248
117,madang,-5.2246,145.7966,80.51,77,100,5.32,PG,1684882249
118,fortaleza,-3.7227,-38.5247,82.53,78,75,9.22,BR,1684882201
119,yamada,39.4667,141.95,49.44,82,98,13.04,JP,1684882257
120,codrington,-38.2667,141.9667,52.72,74,79,14.99,AU,1684882258
121,kawerau,-38.1,176.7,62.47,73,0,1.99,NZ,1684882259
122,petropavlovsk-kamchatsky,53.0452,158.6483,43.39,65,75,4.47,RU,1684882005
123,beloyarskiy,63.7119,66.6722,52.86,75,85,7.65,RU,1684882262
124,tengrela,10.4869,-6.4097,78.28,73,83,4.68,CI,1684882263
125,hobyo,5.3505,48.5268,81.84,77,100,13.11,SO,1684882264
126,bubaque,11.2833,-15.8333,81.82,70,95,12.64,GW,1684882265
127,kankan,10.3854,-9.3057,80.58,71,87,3.27,GN,1684882268
128,amungan,15.3652,119.9582,83.5,74,33,3.06,PH,1684882270
129,georgetown,5.4112,100.3354,82.35,78,20,3.44,MY,1684882037
130,vadso,70.0744,29.7487,46.56,100,75,6.91,NO,1684882272
131,vorgashor,67.5833,63.95,43.21,74,61,6.08,RU,1684882273
132,marsh harbour,26.5412,-77.0636,79.59,71,5,11.03,BS,1684882275
133,afaahiti,-17.75,-149.2833,82.27,83,68,13.4,PF,1684882276
134,morant bay,17.8815,-76.4093,83.82,78,40,4.63,JM,1684882279
135,morogoro,-6.8167,37.6667,68.29,94,72,1.81,TZ,1684882280
136,whitehorse,60.7161,-135.0538,63.07,23,40,5.75,CA,1684882276
137,hawaiian paradise park,19.5933,-154.9731,79.16,83,40,4.61,US,1684882282
138,udachny,66.4167,112.4,35.46,80,59,12.37,RU,1684882284
139,port-gentil,-0.7193,8.7815,78.76,94,40,6.91,GA,1684882285
140,satipo,-11.2522,-74.6386,72.16,98,98,2.15,PE,1684882286
141,port elizabeth,-33.918,25.5701,48.49,87,0,6.91,ZA,1684882287
142,talnakh,69.4865,88.3972,31.21,95,62,9.98,RU,1684882289
143,manokwari,-0.8667,134.0833,82.02,71,80,2.55,ID,1684882290
144,illizi,26.4833,8.4667,82.2,14,100,5.21,DZ,1684882292
145,lycksele,64.5954,18.6735,49.87,71,93,4.61,SE,1684882293
146,taoudenni,22.6783,-3.9836,85.71,18,94,10.98,ML,1684882294
147,brisas de zicatela,15.8369,-97.0419,91.92,58,0,8.05,MX,1684882296
148,puerto ayacucho,5.6639,-67.6236,79.97,84,63,0.92,VE,1684882297
149,los altos,37.3852,-122.1141,68.47,57,0,12.66,US,1684882142
150,sinop,41.7711,34.8709,53.24,93,84,1.5,TR,1684882299
151,kalmunai,7.4167,81.8167,78.37,85,5,9.31,LK,1684882300
152,torres,-29.3353,-49.7269,68.83,89,5,3.53,BR,1684882302
153,pandharpur,17.6667,75.3333,88.63,38,70,13.02,IN,1684882303
154,coyuca de catalan,18.3333,-100.65,105.12,22,28,1.86,MX,1684882304
155,kourou,5.1552,-52.6478,78.85,90,97,7.16,GF,1684882305
156,pemangkat,1.1667,108.9667,80.44,85,100,7.85,ID,1684882307
157,aasiaat,68.7098,-52.8699,28.67,87,100,16.73,GL,1684882308
158,tofol,5.3248,163.0078,83.98,79,75,9.22,FM,1684882309
159,orapa,-21.2833,25.3667,67.03,34,0,8.81,BW,1684882310
160,puerto baquerizo moreno,-0.9,-89.6,81.59,78,40,10.36,EC,1684882312
161,pacasmayo,-7.4006,-79.5714,75.43,73,52,13.58,PE,1684882313
162,doganyol,38.3118,39.0382,49.66,58,18,3.29,TR,1684882314
163,noumea,-22.2763,166.4572,75.0,99,46,14.14,NC,1684882315
164,murghob,38.1702,73.9667,39.07,67,100,5.37,TJ,1684882317
165,invercargill,-46.4,168.35,48.15,70,68,9.28,NZ,1684882318
166,funafuti,-8.5243,179.1942,89.6,84,75,0.0,TV,1684882322
167,pariaman,-0.619,100.12,77.11,86,61,3.53,ID,1684882323
168,cambria,35.5641,-121.0808,58.8,84,60,5.99,US,1684882324
169,jeddah,21.5169,39.2192,93.06,31,20,4.61,SA,1684882141
170,kasama,-10.2129,31.1808,59.74,93,13,2.86,ZM,1684882327
171,vylkove,45.4021,29.586,60.31,72,43,4.34,UA,1684882328
172,lerwick,60.1545,-1.1494,50.0,93,100,21.99,GB,1684882329
173,hasaki,35.7333,140.8333,61.2,57,24,18.45,JP,1684882331
174,magistral'nyy,56.1725,107.4458,42.48,95,100,4.41,RU,1684882332
175,ciudad lazaro cardenas,17.9583,-102.2,86.43,61,47,10.58,MX,1684882333
176,mattoon,39.4831,-88.3728,80.69,28,0,4.61,US,1684882335
177,badger,64.8,-147.5333,65.26,32,20,5.75,US,1684882269
178,motueka,-41.1333,173.0167,54.1,65,18,2.51,NZ,1684882337
179,savelugu,9.6244,-0.8253,87.12,57,69,8.93,GH,1684882338
180,aleksandrovskoye,44.7142,43.0008,61.99,80,90,8.88,RU,1684882340
181,weisswasser,51.5167,14.6333,51.15,84,100,10.58,DE,1684882341
182,nar'yan-mar,67.6713,53.087,56.44,68,79,8.72,RU,1684882342
183,santo antonio do ica,-3.1022,-67.9397,76.66,96,69,2.51,BR,1684882344
184,ghat,24.9647,10.1728,83.97,21,90,0.63,LY,1684882345
185,burang,30.25,81.1667,37.62,82,93,3.74,CN,1684882346
186,avarua,-21.2078,-159.775,77.05,65,29,2.3,CK,1684882347
187,castillos,-34.1667,-53.8333,68.02,77,95,7.0,UY,1684882312
188,alakurtti,66.9672,30.3491,49.15,91,41,3.36,RU,1684882350
189,locharbriggs,55.1034,-3.5844,52.95,91,85,4.27,GB,1684882351
190,vila franca do campo,37.7167,-25.4333,63.01,82,62,8.68,PT,1684882352
191,san antonio de pale,-1.4014,5.6325,79.32,80,91,4.72,GQ,1684882354
192,el fasher,13.6279,25.3494,83.48,11,0,3.56,SD,1684882355
193,sur,22.5667,59.5289,89.35,53,59,14.85,OM,1684882356
194,pago pago,-14.2781,-170.7025,83.39,84,75,5.75,AS,1684882358
195,sukumo,32.9333,132.7333,64.42,55,0,7.72,JP,1684882359
196,ponta delgada,37.7333,-25.6667,63.32,72,20,12.66,PT,1684882360
197,ma'rib,15.4591,45.3253,76.82,52,100,4.61,YE,1684882361
198,lautoka,-17.6167,177.4667,80.46,69,75,5.75,FJ,1684882076
199,keokuk,40.3973,-91.3849,82.63,32,0,5.75,US,1684882364
200,khovd,48.0056,91.6419,45.25,54,23,4.07,MN,1684882365
201,novo aripuana,-5.1206,-60.3797,76.17,96,93,2.48,BR,1684882366
202,atbasar,51.8,68.3333,57.56,48,37,5.66,KZ,1684882368
203,weno,7.4515,151.8468,85.95,84,75,8.05,FM,1684882369
204,ocean shores,46.9737,-124.1563,57.69,73,0,10.36,US,1684882370
205,ola,59.5833,151.2833,41.14,97,100,6.71,RU,1684882371
206,sorong,-0.8833,131.25,80.1,80,100,6.67,ID,1684882373
207,angaur state,6.906,134.13,81.55,82,99,18.12,PW,1684882374
208,hamilton,39.1834,-84.5333,78.67,49,40,8.05,US,1684882331
209,ust-nera,64.5667,143.2,36.21,96,100,7.09,RU,1684882376
210,calabugao,8.4564,125.1589,72.82,83,94,1.54,PH,1684882377
211,ilulissat,69.2167,-51.1,24.82,86,100,11.5,GL,1684882379
212,alice springs,-23.7,133.8833,40.55,81,5,0.0,AU,1684882380
213,gaeta,41.2183,13.5628,63.52,92,63,2.33,IT,1684882381
214,yerofey pavlovich,53.9667,121.9667,49.23,84,83,2.71,RU,1684882382
215,nova sintra,14.8667,-24.7167,68.63,79,54,14.09,CV,1684882384
216,palm coast,29.585,-81.2078,76.42,84,96,8.01,US,1684882104
217,qusmuryn,52.4503,64.6311,60.22,46,31,7.45,KZ,1684882386
218,kirriemuir,56.674,-3.0034,49.64,90,100,5.75,GB,1684882388
219,kununurra,-15.7667,128.7333,57.18,72,2,0.0,AU,1684882389
220,kavaratti,10.5669,72.642,83.86,74,24,5.06,IN,1684882390
221,freetown,8.484,-13.2299,82.11,83,75,6.91,SL,1684882391
222,sakaiminato,35.55,133.2333,62.58,67,75,8.05,JP,1684882393
223,okeho,8.0333,3.35,74.5,89,87,5.88,NG,1684882395
224,tannum sands,-23.9504,151.3693,67.89,60,0,12.66,AU,1684882397
225,laguna,38.421,-121.4238,78.04,46,0,12.66,US,1684882398
226,altamont,42.2068,-121.7372,70.09,26,0,11.5,US,1684882389
227,zharkent,44.1628,80.0,57.92,48,51,7.09,KZ,1684882400
228,khulm,36.6974,67.6983,77.14,38,7,3.85,AF,1684882402
229,carolina beach,34.0352,-77.8936,72.95,74,100,19.69,US,1684882403
230,queenstown,-31.8976,26.8753,48.47,46,4,4.76,ZA,1684882404
231,stephenville,32.2207,-98.2023,83.75,60,40,6.91,US,1684882405
232,jamestown,42.097,-79.2353,72.86,37,20,8.05,US,1684882223
233,punta arenas,-53.15,-70.9167,33.91,93,0,16.11,CL,1684882408
234,palmer,42.1584,-72.3287,65.86,56,75,13.8,US,1684882409
235,saurimo,-9.6608,20.3916,66.06,44,2,5.32,AO,1684882411
236,boulazac,45.1167,0.75,57.87,81,3,10.29,FR,1684882412
237,labytnangi,66.6572,66.4183,44.64,61,62,4.34,RU,1684882413
238,la punta,-33.1837,-66.3127,58.89,75,43,4.56,AR,1684882414
239,mungwi,-10.1732,31.3694,59.86,95,26,2.59,ZM,1684882416
240,crane,31.3974,-102.3501,93.56,13,0,0.4,US,1684882417
241,kasempa,-13.4584,25.8338,63.1,66,67,4.27,ZM,1684882418
242,mildura,-34.2,142.15,53.51,50,11,11.27,AU,1684882419
243,tabou,4.423,-7.3528,81.0,83,76,5.17,CI,1684882420
244,narvik,68.4384,17.4272,40.46,95,97,1.77,NO,1684882422
245,pokachi,61.7198,75.3683,42.17,65,8,5.97,RU,1684882423
246,sao jose da coroa grande,-8.8978,-35.1478,77.94,86,19,11.1,BR,1684882342
247,tunduma,-9.3,32.7667,60.39,88,95,4.97,TZ,1684882425
248,bandon,51.7469,-8.7425,51.39,95,100,8.08,IE,1684882427
249,constantia,44.1833,28.65,56.08,86,4,6.55,RO,1684882275
250,mili,6.0815,171.735,82.49,79,51,13.29,MH,1684882429
251,nova olimpia,-14.7972,-57.2881,76.28,67,2,1.52,BR,1684882430
252,fort st. john,56.2499,-120.8529,48.09,81,100,9.22,CA,1684882369
253,badagry,6.4167,2.8833,80.29,86,88,6.55,NG,1684882433
254,kruisfontein,-34.0033,24.7314,53.53,60,12,4.47,ZA,1684882294
255,cannonvale,-20.2833,148.7,69.19,72,71,16.78,AU,1684882519
256,keflavik,64.0049,-22.5624,43.23,61,75,36.82,IS,1684882315
257,tura,25.5198,90.2201,69.35,96,97,3.71,IN,1684882325
258,tosham,28.8833,75.9167,87.89,35,86,5.99,IN,1684882522
259,kudat,6.8837,116.8477,76.93,94,20,0.0,MY,1684882524
260,rongelap,11.1635,166.8941,82.74,75,84,14.74,MH,1684882298
261,anatuya,-28.4606,-62.8347,77.85,70,59,9.08,AR,1684882526
262,hafar al-batin,28.4328,45.9708,86.58,32,0,9.22,SA,1684882527
263,enfield town,51.6515,-0.085,51.66,76,99,3.44,GB,1684882529
264,boa vista,2.8197,-60.6733,84.18,74,40,5.75,BR,1684882309
265,kismayo,-0.3582,42.5454,80.08,78,4,12.41,SO,1684882531
266,jha-jha,24.7667,86.3667,84.25,49,34,7.56,IN,1684882532
267,nevel'sk,46.6733,141.8633,50.05,65,0,9.31,RU,1684882535
268,vorkuta,67.5,64.0,44.31,71,76,5.66,RU,1684882536
269,port alfred,-33.5906,26.891,62.04,53,8,4.56,ZA,1684882537
270,bridgewater,44.3835,-64.5155,49.24,57,0,8.05,CA,1684882517
271,moapa valley,36.5805,-114.4703,98.55,7,31,24.83,US,1684882541
272,ulaangom,49.9811,92.0667,48.09,54,15,5.44,MN,1684882542
273,kuta,-8.7233,115.1723,75.0,94,20,5.01,ID,1684882545
274,savanur,14.9667,75.35,76.17,83,24,11.43,IN,1684882546
275,nyurba,63.2842,118.3319,48.31,48,100,4.88,RU,1684882547
276,kedrovyy,56.1667,91.8167,42.87,65,78,8.34,RU,1684882548
277,mena,51.5217,32.2157,54.86,85,30,2.55,UA,1684882550
278,itamaraca,-7.7478,-34.8256,82.45,88,26,11.16,BR,1684882551
279,kill devil hills,36.0307,-75.676,63.07,84,100,16.11,US,1684882504
280,luderitz,-26.6481,15.1594,56.23,71,9,4.07,NA,1684882553
281,san julian,21.0167,-102.1667,84.42,19,81,5.21,MX,1684882554
282,kosice,48.6667,21.3333,61.29,88,0,4.61,SK,1684882556
283,saldanha,-33.0117,17.9442,48.25,85,98,6.06,ZA,1684882294
284,alaghsas,17.0187,8.0168,93.67,18,85,6.29,NE,1684882558
285,uturoa,-16.7333,-151.4333,79.88,80,79,11.99,PF,1684882268
286,gaiman,-43.2897,-65.4929,54.88,30,1,8.48,AR,1684882562
287,pemba,-12.974,40.5178,74.23,79,2,10.63,MZ,1684882563
288,barreiro do jaiba,-15.6167,-43.6,76.42,48,97,12.26,BR,1684882564
289,matthew town,20.95,-73.6667,81.66,69,0,6.26,BS,1684882566
290,hobaramachi,37.8167,140.55,56.89,78,34,1.01,JP,1684882567
291,teluk nibung,3.001,99.8164,76.69,91,100,3.62,ID,1684882568
292,sisimiut,66.9395,-53.6735,29.7,72,100,25.57,GL,1684882569
293,enewetak,11.3474,162.3373,83.25,72,100,15.61,MH,1684882571
294,pandan,14.0453,124.1694,82.47,80,74,3.78,PH,1684882518
295,anar darah,32.7587,61.654,79.16,23,0,7.67,AF,1684882573
